input_id,prompt_id,arcface_cosine_face1,arcface_cosine_face2,clip_t,psnr,ssim
img_001.webp,prompt_01,48.30%,42.96%,23.38%,33.8171,98.12%
img_001.webp,prompt_02,50.03%,45.29%,28.04%,32.6153,97.45%
img_001.webp,prompt_03,41.31%,41.55%,29.31%,30.7989,97.19%
img_001.webp,prompt_04,56.87%,39.32%,29.64%,35.3803,98.12%
img_001.webp,prompt_05,46.14%,48.30%,33.61%,29.9426,96.79%
img_001.webp,prompt_06,49.50%,44.56%,33.90%,33.1768,96.89%
img_001.webp,prompt_07,45.56%,48.09%,32.29%,31.3298,97.34%
img_001.webp,prompt_08,50.98%,39.32%,31.71%,33.1874,97.68%
img_001.webp,prompt_09,49.29%,44.20%,37.96%,31.5014,96.95%
img_001.webp,prompt_10,46.89%,47.76%,28.19%,33.5012,97.94%
img_001.webp,prompt_11,34.86%,34.05%,29.77%,31.8448,96.81%
img_001.webp,prompt_12,41.34%,41.98%,30.42%,29.4361,97.03%
img_001.webp,prompt_13,46.74%,36.33%,30.04%,32.9137,98.15%
img_001.webp,prompt_14,60.37%,46.56%,30.28%,31.7989,96.92%
img_001.webp,prompt_15,49.96%,41.57%,30.75%,33.071,97.62%
img_001.webp,prompt_16,28.83%,37.81%,31.95%,31.8936,97.28%
img_001.webp,prompt_17,39.38%,48.92%,32.49%,35.2448,98.91%
img_001.webp,prompt_18,33.27%,43.25%,28.07%,32.8732,97.85%
img_001.webp,prompt_19,31.03%,36.76%,27.02%,31.9915,97.45%
img_001.webp,prompt_20,55.89%,50.75%,27.20%,31.0131,97.14%
img_001.webp,prompt_21,51.45%,45.09%,26.53%,33.3087,97.29%
img_001.webp,prompt_22,26.35%,21.07%,27.05%,28.7767,96.61%
img_001.webp,prompt_23,39.78%,35.27%,22.78%,32.5342,98.11%
img_001.webp,prompt_24,50.97%,38.23%,24.61%,29.9049,96.92%
img_001.webp,prompt_25,48.12%,50.83%,22.88%,34.7829,97.76%
img_001.webp,prompt_26,58.11%,53.96%,24.41%,34.7737,97.83%
img_001.webp,prompt_27,43.77%,45.86%,24.62%,34.7887,98.22%
img_001.webp,prompt_28,45.52%,37.34%,24.89%,32.4253,97.42%
